@relation corpus_tweets_t1 
@attribute text string 
@attribute classe {+,-,=}
@data
"RT @francoislegault: Éoliennes: le rêve non rentable du PQ et du PLQ http://t.co/VHnkGOjWhS", -
"600 puits de gaz laissés sans surveillance au Québec: Des citoyens et des écologistes pressent le gouvernement... http://t.co/saCunocfj9", =
"Ecologistes et communistes sans merci à La Rochelle  — via @libe http://t.co/ouwjGBLPOM", -
"Fleur des Mauges commercialise des produits cosmetiques biologiques et ecologiques sur base vegetale  Ces produits  http://t.co/vNdO1GKVPa", +
"INSTALLATEUR REVENDEUR EOLIENNES ET SOLAIRE POUR PARTICULIERS Sites isoles  batteries ou connection reseau http://t.co/c7CsJZZYqZ", =
"23e édition des Entretiens de Sologne : le programme du Colloque http://t.co/2J4zovwiyi Un hommage à l’#arbre, pilier de l’#écosystème", =
"Projet de décharge dans l'Aveyron : les élus locaux n'ont pas tous l'air d'accord… http://t.co/owsTKGhOn9", -
"Le réchauffement climatique pourrait causer 250.000 décès chaque année - Sciences et Avenir http://t.co/9FhHLVN0W0", =
"Révolution numérique : 7 tendances qui vont changer le monde | @scoopit via @WilG56 http://t.co/zY4bmjNUPP", +
"Politique: rencontres écologiques pour le parti Ecolo au Domaine de Massembre  http://t.co/1Dz5M2wMtP", =
"Avec le réchauffement climatique, les écosystèmes marins de l’Arctique sont «sur la ligne de feu» La photo titre... http://t.co/vtJ566negl", =
"Très critiques sur les «renoncements» de Hollande, Pierre Laurent (PCF) et Emmanuelle Cosse (EE-LV) ont reçu des... http://t.co/BCkoFakjdc", -
"5/7 Indice D prix #INSEE "(à cause D conneries écologiques) des Travaux des Assurances des factures EDF/GDF (toujours à cause de l'écologie)", -
"Ecologistes et communistes sans merci à La Rochelle ::  http://t.co/d4jwXF6RyF", -
"@hangen_claude vaut mieux ségolène qui, grâce à l'imitation de SES éoliennes créées par elle (!), brasse un vent monstrueux à l"Elysée. :-)", =
"@hangen_claude vaut mieux ségolène qui, grâce à l'imitation de SES éoliennes créées par elle (!), brasse un vent monstrueux à l"Elysée. :-)", =
"#Ecologistes et #communistes sans merci à La Rochelle  http://t.co/Y1Sqv4qG5o via @libe", -
"Que de tels propos soient présentés comme "durs" en dit long sur le niveau de trahison et de recul actuel : http://t.co/t3y8Nx66R8 via @libe", -
"Les effets accélérés du réchauffement climatique http://t.co/WJRbL374Lk", =
"Ecologistes et communistes sans merci à La Rochelle - http://t.co/fgh65XKXfH Leur absence aurait été plus éloquent !", -
"31/08 présents aussi clôture Univ PS #UEPS2014 élus écologistes La Rochelle avec @DesveauxBrigitt JM Soubeste @EELV_LRReAunis #larochelle", =
"Presque 25% de l'électricité mondiale produite à partir de sources d'énergie renouvelable. Un pas (enfin) vers la... http://t.co/0ZUdjKVWdi", =
"En juillet les #énergies #renouvelables ont répondu à 37% de la demande #électrique espagnole http://t.co/6sW4vLi13t  http://t.co/Y9eyDCfOqv", =
"@Nitro_Politic initié par le pcf..et autres tendances anti capitalistes..  Même s'il rassemble aussi qlq socialistes et écologistes.", =
"#RTSdécouverte Mission Gulf Stream: au cœur du réchauffement climatique, un doc à voir mnt sur #RTSUn http://t.co/ZRLDyJSrIa", =
"Réveillé par le réchauffement climatique...", =
"Rancune ?^^ RT @partisocialiste: .@jccambadelis Je n'oublie pas que nous avons eu un accord avec les écologistes sur 170 villes (...) #UEPS", -
"On peux Vendre du vent , regarde les eoliennes", -
"1 300 espèces menacées : comment les #oiseaux sont en train de disparaître dans l'indifférence générale ►http://t.co/GprYwmeQdj v/@Pescalune", -
"Ce matin j'encourage le développement de l'énergie thermique dela mer,la methanisation de la bagasse, la géothermie:un nv modèle énergétique", +
"Ce qu'il se passe sur le site du futur barrage de Sivens pr empêcher le déplacement d'espèces protégées http://t.co/ybGOnQ0kRn #Testet #ZAD", -
"À défaut de réaliser l'union du PS et des écologistes français, Camba. en appelle à l'union des gauches et des écologistes européens #UEPS", =
"Architecture et paysage #Panarea la plus belle des #Eoliennes http://t.co/QnXhhJl1mG", +
"@LauraSlimani nécessité de faire percoler les fondamentaux des écologistes et de la gauche ds les temps longs #Valls http://t.co/Vwsjyfa58I", =
"[Article #Bricolage] Isolants écologiques   http://t.co/4JVRXAVQGz   #isolation", =
"Personnellement, je ne veux pas me "rassembler" avec @manuelvalls. Je préfère me rassembler avec les communistes et les écologistes ! #UEPS", =
""L'#UDI a un projet de refondation politique du modèle français sur des bases écologiques, sociales et libérales" @sudradio #GenerationUDI", =
"@ailespourlouest  Les moins de croissance sont partout sauf pour les éoliennes", -
""Éoliennes volantes, le vent d'enthousiasme" http://t.co/UWf0kz36wb", +
"@RoyalSegolene l'énergie renouvelable c'est l'avenir , mais il faut avant tout faire le ménage , car il y à Bcp d'arnaques !!!", -
"Si on n avait pas suivi aveuglément les écologiste on aurait entretenu les centrales et on n en serait pas là #controverse", -
"@RTLControverse c'est dommage d'avoir tellement freiné les énergies alternatives ...", -
"@RoyalSegolene  L'énergie renouvelable doit faire parti des futures causes national , nous nous devons d'être rassemblée ...", =
"Ecologistes et communistes sans merci à La Rochelle http://t.co/hQ9lQNWyJg", -
"Le public doit reprendre la main sur l'énergie. Carte blanche parue dans l'Echo concernant le #blackout #controverse http://t.co/RrAt5xfhio", =
"Nouvel écosystème #digital pour la igue des champions de #hockey sur #glace http://t.co/PWLtXVpX2B #CHL #media", =
"L'éolienne au coeur des #énergies #renouvelables http://t.co/FpxpdwK6y3", =
"Les intranets et leur écosystème - Portrait des usages et meilleures pratiques http://t.co/knAvvQKcp0", +
"Pollution industrielle : causes et conséquences de la fermeture du centre de traitement des déchets de Jradou. http://t.co/oO2w3hCjZA", =
"Pollution industrielle : causes et conséquences de la fermeture du centre de traitement des déchets de Jradou. http://t.co/ktfUNzm6QM", =
"Tous les précaires se réjouissent du réchauffement climatique dans un sens", +
"RT @yvesjego: L' #UDI a un projet de refondation politique du modèle français sur des bases écologiques, sociales et libérales" @sudradio", +
"Ecologistes et communistes sans merci à La Rochelle #PCF #EELV http://t.co/XLwcglZoi1", -
"Pour prendre une décision éclairée, il convient aussi de connaître les contraintes associées à la géothermie résidentielle.", +
"Annonce #CDI #LaRochelle Ingénieur Développement Energies Renouvelables - Chargé d'Affaire http://t.co/tgbKdCfb87", =
""Des auberges de jeunesse qui offrent une expérience au milieu de la nature ..." http://t.co/qZIEJPLPlq", +
"@Scuffiie tqt rien d'important ^^ c a cause du réchauffement climatique ^^", =
"A La Rochelle, écologistes et communistes sans merci mais ovationnés. La ligne Hollande-Valls minoritaire ! #UEPS2014 http://t.co/BhEau32hUc", +
"@BDrainvillePQ @FinDesTemps @LP_LaPresse Le pétrole crée plus de richesse que les éoliennes mettons en passant,fini l'ère des chevaux !", +
"Météo apocalyptique : analyse d'un dérapage médiatique qui utilise la #WWOSC sans en parler - http://t.co/jMtAJrL9RW #météo #médias", =
"Annonce #CDI #Fleurus Un Technicien Process Waste traitement de déchets industriels nucléaires http://t.co/g5u4i0lv39", =
"Les centrales solaires à effet de cheminée.. La tour solaire à effet de cheminée est l’un des projets les plus... http://t.co/bTeZB0Xcpt", =
"JE VIENS D'ACCOUCHER <3. http://t.co/YL8o0mANAq", =
"Eridanis développe son écosystème de sociétes partenaires dédiées aux objets connectés https://t.co/90GE7ByFqF", +
"Je viens de recevoir une récompense : Écologiste http://t.co/K32pp4zXBB #Androidgames #Gameinsight #Android", +
"@Thelema973 les médias la présentent comme la candidate écologiste !!", =
"Des auberges de jeunesse 100% écologiques http://t.co/RaAVECm5qX", =
"L’énergie verte en Russie sera boostée grâce à la Chine - La Chine se dit prête à investir ... http://t.co/KfORCIz1DV", +
"@Energie2_0 Bienvenue à votre Groupe Energie 2.0 ! Au plaisir d'échanges constructifs en matières d'énergies renouvelables etc Chris,MGB", +
"Réchauffement climatique: un rapport du GIEC alarmant  http://t.co/pGlGpBqQWT via @le_figaro", =
"Cambrésis : en attendant les éoliennes, ce sont de drôles d’antennes qui sortent de terre  http://t.co/AnEydx85EZ", -
"Qu'est-ce que l'Ecosystème de l'entreprise http://t.co/5omjJ8GTyn #conseil By Creative Consulting", =
"Cueillir, une autre façon de consommer | @scoopit http://t.co/UPMlVDKn3u", =
"L'entreprise fertile : donner du sens à un « fil vert » - Les Échos | @scoopit http://t.co/I0nKgC7nYW", +
"L’énergie verte en Russie sera boostée grâce à la Chine http://t.co/PlFAmjJPji", +
"Le wwoofing naît dans les fermes bio de Pyrénées-Atlantiques | @scoopit http://t.co/CnAV3hSXaL", =
"Réchauffement climatique : la carte des villes qui seront touchées en premier http://t.co/OkHWFNO8ST", =
"Apparemment "Le réchauffement climatique" n'est pas la meilleure explication quand ta meuf te le demande", -
"Des légumes anciens à la pelle - Le JSL | @scoopit http://t.co/63Yng6KDpC", =
"Nous recrutons ! Ingénieur conseil secteur Énergies Renouvelables-Services à l'Environnement (H/F) (#Paris) http://t.co/dSfhT4t9BL #job", =
"L’Indonésie veut rentabiliser ses volcans par géothermie http://t.co/prBCqvjWoh", +
"1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'indifférence générale |... http://t.co/u5ITnbcA2X", -
"Twelcome Jacquemard Pascal bravo de vous intéresser au #BioMethane, l'énergie verte stockable et locale ! http://t.co/XlkshzqPCf", +
"Y'a tour un ecosysteme sous mon lit mdr", =
"L’#énergie verte en #Russie sera boostée grâce à la #Chine http://t.co/U8djUqbZVC", +
"L'UE va arrêter de financer les centrales hydroélectriques roumaines - EurActiv France | @scoopit http://t.co/zs8L7s8Hj2", -
"L'UE va arrêter de financer les centrales hydroélectriques roumaines - EurActiv France | @scoopit http://t.co/zs8L7s8Hj2", -
"1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'indiffér... | @scoopit via @Zehub http://t.co/kGvRJ6bufM", -
"la version moderne, c'est des Eoliennes ;-) http://t.co/8XyonmMusl", =
"Le Rouge passe au Vert ! “@french_ruvr: RE L’#énergie verte en #Russie grâce à la #Chine http://t.co/qSjHJl9KQV” http://t.co/K3KcSeK5O7", =
"L'éolien !  RT @french_ruvr: L’#énergie verte en #Russie sera boostée grâce à la #Chine http://t.co/gZKNzq9lOH #environnement #énergieverte", +
"Dans un écosystème comme le nôtre où il n'y a encore aucune règle il est très important que les artistes apprennent de ceux qui font bien.", +
"Milton Glaser, le graphiste de "I ♥ New York", crée un logo contre le réchauffement climatique http://t.co/R3mUb9tk5k via @LeHuffPost", +
"1 300 espèces menacées : les #oiseaux sont en train de #disparaître http://t.co/Ja77uPXXzW via @po_st. J'en suis témoin dans ma campagne.", -
"Les intranets et leur écosystème : Portrait des usages et meilleures pratiques http://t.co/QmwM5LIaLK v/ @jeanlucr", +
"@KilleuseP Et également le réchauffement climatique,en effet des relations débridées avec des corps denudés génerent une fusion fatale !", -
"Les intranets au Qc @cefrio http://t.co/eObiGIqpYt Défis pour écosystème en mutation : gouvernance et travail collaboratif en ligne #planqc", =
"RT @libe Invités à La Rochelle, communistes et écologistes sans merci http://t.co/3wfw1FpjhD", -
"Un article sur notre fournisseur de produits nettoyants écologiques: Baleco Ecosolutions http://t.co/n3YbFxjMzs", =
"1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'i... | @scoopit via @Bourdonclejm http://t.co/myh6pLmcjk", -
"#gazdeschiste: Au Québec Des citoyens et des écologistes pressent le gouvernement du Québec de prendre ses... http://t.co/Hmpw9PCIld", =
"#Éolien : @ecologiEnergie et @Defense_gouv travaillent sur des solutions efficaces pour la cohabitation des #éoliennes et des #radars #EnR", +
"Wake up call numéro 376894 > Le réchauffement climatique pourrait bientôt causer 250 000 décès de plus par an http://t.co/5Du0FphHjJ", =
"Le mythe du réchauffement climatique,images satellites prouvent le contraire! Via @jfperron: http://t.co/35ghL1qPyr #France #Québec #Canada", =
"Les panneaux solaires bientôt transparents ? | @scoopit http://t.co/ZuM5ERyvaO", =
"Sécurisation des mécanismes de soutien aux #énergies #renouvelables électriques en notifiant à la @EU_Commission les dispositifs existants", =
"Je veux des funérailles écologiques ! Un guide (incongru) pour préparer sa mort autrement -    Est-il… http://t.co/BqFXoDjh4E", -
"Publication de l'arrêté relatif au balisage des #éoliennes dans certains territoires d'outre-mer http://t.co/7nDfaSew0t", =
"Taiwan va développer l'énergie renouvelable selon le Président http://t.co/koXRBXN1zq", +
"Les mini-maisons, moins chères et plus écologiques http://t.co/faajajndww", +
"@datniggabugz l'émission de bein le dimanche en mm temps que Cfc", =
"@LaCroixCom Encore une manifestation du réchauffement climatique !...", =
"martinique 1ère – Lutter contre le réchauffement climatique et réduire la facture én ergétique... http://t.co/nwSzntnBFT", +
"agent commercial chauffage, énergies renouvelables, amélioration et confort de l'habitat résidentiel:... http://t.co/KEvjeLRQuj", +
"agent commercial chauffage, énergies renouvelables, amélioration et confort de l'habitat résidentiel:... http://t.co/KEvjeLRQuj", +
""Les éoliennes c'est moche" ◽️Moins qu'une centrale nucléaire ◽️La beauté est un concept subjectif ◽️T'as pas vu ta gueule Choisis ton camp", -
"@MxthiIde On est tellement impliquées dans le réchauffement climatique, c'est vraiment une très bonne chose !! <3 <3", +
"L’énergie verte en Russie sera boostée grâce à la Chine Lire la suite: http://t.co/5wUPhlVJTa", +
"Ecologistes et communistes sans merci à La Roche   @libe Qu'ils aillent ailleurs mais ils croient encore qu'ils représentent quelque chose", -
"Très bonne émission ce canal sg ..., bande de suceurs !!! #CFC #TeamOM", +
"Via @annedeblois: #Québec  RT @francoislegault: Éoliennes: le rêve non rentable du PQ et du PLQ  http://t.co/N0AZeBMUEs", -
"Lettre @manuelvalls : De l'@ademe au Syndicat des Énergies Renouvelables, l'étrange transition de Jean-Louis Bal. http://t.co/p0gC1VZA9A", =
"Eoliennes : l'arm e vent debout: Bien que technique et discret dans les m dias, ... http://t.co/N0uAVWVbMa #Royal http://t.co/ikuemwXLZF", =
"Plus de pubs que de football.  Plus de critiques que de louanges. Plus de ragots que d'infos. Vraiment une émission d'escrocs.  #CFC", -
"plus ça avance et plus le CFC ressemble à une émission genre détendu de la langue, et on parlera de foot quand on aura envie d'en parler.", -
"Deux éoliennes à côté d'une centrale nucléaire : la parfaite allégorie de la bonne conscience qu'on se donne.", -
"Plus d'une espèce d'oiseaux sur quatre menacées en @iledefrancefr http://t.co/JiSksLupIg", -
"Le réchauffement climatique s'est-il noyé dans l'Atlantique ? http://t.co/W7IX1JW6IK #Environnement via @LePoint", =
"@stlefebvre Ca risque de souffler #éoliennes #energiealternative", -
".@CecileDuflot : "-Je n'ai jamais pensé que @fhollande était écologiste #ruquier : "Mais vous pensiez qu'il était socialiste" j'ai ri! #ONPC", =
"Malgré tout, il y a en France tout un écosystème de kinés, infirmières, médecins, aides à domicile qui permet de rester chez soi. 3/", =
"Alors ce serait chouette que le gouvernement, s'il est encore de gauche, se préoccupe de ne pas détruire cet écosystème qui est primordial 5", +
"@leblancjeanfran @ProEole @ldeniaud @clergeau quelles différences entre les 2 techniques de supports d'éoliennes offshore pour les poissons?", =
"300 espèces menacées : comment les oiseaux sont en train de disparaître dans l’indiffé rence générale http://t.co/pBdi1cvqFA", -
"Quand je dois éteindre la lumière le soir, que j'ai oublié de fermer les volets y a tout un écosystème qui s'est développé sur les carreaux", =
"@Cytiz Dommage pour lui, supporter du PSG, les verts vont gagner ! J'ai bien dit les verts (@ASSEofficiel ) pas les verts (écologistes) !", -
"@Jeunes_Ecolos,  Le groupe local des Jeunes Écologistes de l'île de la Réunion est lancé! http://t.co/MCMxPCAhgE", =
"22% de l'électricité mondiale proviendrait d'énergies renouvelables... Difficile à croire, mais tant mieux si... http://t.co/KiaeFbxojW", +
"@RoyalSegolene Félicitations, nouvelles de nouvelles technologies d'énergie renouvelable sont toujours les bienvenus", +
"Je regarde un reportage super intéressant sur France 5, c'est sur le réchauffement climatique et ils parlent de Katrina etc", +
"Non je ne suis pas facho mais j'aime pas les ecolos, non. Je ne suis pas raciste et j'aime pas les écologistes 🎵", -
"L’énergie verte en Russie sera boostée grâce à la Chine  http://t.co/aCdOeLGHYz", +
"Le pauvre ils veulent tous l'adopté alors qu'il y'a des milliers des d'enfants (de gens) qui creve de faim quand... http://t.co/wDErOW0RBx", =
"@lelurker Y fa frette en maudit par ce réchauffement climatique", =
"@L_Theeo @YalovenkoS chaud bouillant rechauffement climatique", =
"L'année prochaine je vais en STI2D EE, ok le truc ou y'a 5 000 lettre juste pour les énergies renouvelables...", =
""Le "chat le plus triste du monde" reçoit des milliers de demandes d'adoption" good read http://t.co/8gvuINoYMO", -
"#RapMagMaroc Energies renouvelables : La strat gie marocaine salu e par les experts mondiaux http://t.co/7Qs57o2v0C", +
"Eoliennes : l’armée vent debout — via @liberation_info  http://t.co/U0F6SGvq8O", =
"Le pauvre ils veulent tous le retrouver (ce qui est fait) alors qu'il y'a des milliers des d'enfants (de gens)... http://t.co/4ziHO9Rqcm", -
"Je suis peut être pour la préservation de l'écosystème mais l'insecte qui s'est fait mes jambes est un sale batard", -
"Energies renouvelables : La stratégie marocaine saluée par les experts mondiaux  http://t.co/nc0puU3pC2", +
"j'ai envie d'autres paysages que le vide et les cinq pauvres éoliennes de l'aube", +
"et le spot de ouf à coté de pleins d'éoliennes", =
"Mauvaise recolte du blé la faute o mauvais temps a bon moi j'dirais plutot la faute au réchauffement climatique et sa s' intensifira #soir3", -
"#ECOLOGIE  Les oiseaux sont en train de disparaître dans l'indifférence générale  La #FIN_DU _MONDE est pour demain-> http://t.co/CTq2P8qw97", -
"@Jean__Emard Cette richesse en devient une de rare, d'autant plus qu'elle pourra permettre le dvlp d'énergies alternatives  @pompombionique", =
"Une pseudo ECOLOGISTE candidate à présidente, qui facture 600.000 EUROS un total de 72 conférences http://t.co/jgSIkoRlJ5 / #MARINASILVA", =
"Un salaire minimum annuel de 7.000 REAIS une PSEUDO ECOLOGISTE qui "gagne" 585.000 REAIS via conférences #MARINASILVA http://t.co/jgSIkoRlJ5", =
"@bahiaflaneur 1 salaire minimum/an de 7.000REAIS et 1 PSEUDO ECOLOGISTE qui facture 585.000 REAIS/an  #MARINASILVA http://t.co/jgSIkoRlJ5", =
"Le +riche des banquiers brésiliens #NECASETUBAL de la +riche banque brésilienne #ITAU, PRINCIPAL MECENE DE #MARINASILVA, PSEUDO ECOLOGISTE", =
"L'énergie verte en Russie sera boostée grâce à la Chine - Voix de la Russie: L'énergie verte en ... http://t.co/9J2hAixKhl #energie #eco", +
"Le finalité d'un trop grand nombre d'écologistes est de vendre des images qui frappent, même si ce sont des foutaises...", -
"@UnFlibustier @Kentin312 Moi je ne suis pas chercheur et même pas écologiste mais j'ai assez vécu pour connaître les pièges de nos sociétés.", =
"@Jean__Emard @pompombionique @amthouin 1. On a des surplus d'électricité. Pas besoin d'autres surplus ou d'«énergie alternative»: éolienne..", =
"Une modification très importante dans écosystème marin du Golfe du Mexique  L’écosystème m  http://t.co/3s9HpNJIFm  #actualitemexique", +
"Les centrales solaires à effet de cheminée - Ecosources http://t.co/JSmdF22Fko", =
"Déchets toxiques australiens traités en Isère : Ségolène Royal n'en veut pas ! http://t.co/7YC4VwC3Eh l'Isere n'en veut pas non plus !!", -
"@la_eal @vivre_ailleurs Bombes = Destruction de l'ecosystème !", -
"@FranckBazin65 Le +riche des banquiers brésiliens #NECASETUBAL de la +riche banque #ITAU PRINCIPAL MECENE DE #MARINASILVA, PSEUDO ECOLOGISTE", =
""Eridanis développe son écosystème de sociétes partenaires dédiées aux objets connectés"  @daddylecool le @LinkedIn http://t.co/IOFswljIOk", +
"Dustin Beck : Riot a « le plus grand respect » pour Valve, mais veut un « écosystème durable ». http://t.co/Y1sOO06BSn", +
"+riche banquière brésilienne #NECASETUBAL banque #ITAU FUTURE MINISTRE ECONOMIE de #MARINASILVA PSEUDO #ECOLOGISTE http://t.co/jgSIkoRlJ5 …", =
"Brésil: la présidente Rousseff (-2%) au coude-à-coude avec l'écologiste Marina Silva (+13%) à 34% (sondage Datafolha)", =
"@vladghs @capuciine_c ouais non écologiste ... T'aurais peu trouver mieux", =
"La menace sur le climat nous pousse vers les énergies renouvelables, la seule solution à long terme.  Les... http://t.co/O9GgDNAOPU", +
"Cameroun – Energie : L’éveil au solaire - 01/08/2014 >>  http://t.co/xcLE2QR9sw", =
"La conservation de la #biodiversité #agricole : un enjeu prioritaire du monde #cynégétique http://t.co/OTcxJ3P6xM", =
"Leclanché SA: DGAP-Adhoc: Leclanché et l'EPFL innovent pour stocker l'énergie solaire http://t.co/KVBozEnzz4", +
"AREVA #Eolien en mer : les 80 éoliennes du parc de Global Tech I ont été installées avec... http://t.co/R8mUjXv6sb via @Zonebourse", =
"Un panneau solaire transparent, les vitres fourniraient l'énergie ? Génial ! http://t.co/yDClFek7gt", =
"Tout un écosystème se met en place pour aider chaque projet à franchir plus aisément les étapes vers le marché :... http://t.co/I7Q5Gk3JRO", +
"Plus gros émetteur de #CO2 au monde, la #Chine (30% émission #GES) lancera son marché du carbonne en 2016. http://t.co/RjrniLcFzm", +
"#Environnement 1300 espèces menacées:comment les oiseaux sont en train de disparaître dans l'indifférence générale http://t.co/s2w20gWygD", -
"Marée verte : la responsabilité de l’Etat est retenue #environnement #écologie http://t.co/dc6qFUizEB", =
"Au lieu de chercher à construire toujours plus de centrales, désintoxiquons-nous de l'électricité!  #nucleaire #solaire #eoliennes", =
"#Climat: ce sera toujours ça de moins à nourrir, loger et occuper. http://t.co/tgPuX4FGfi", =
"Leclanche : Leclanché et l'EPFL innovent pour stocker l'énergie solaire - http://t.co/1H4XUUaEE1: Leclanche : L... http://t.co/tLL5xaYQi7", +
"Comme par hasard depuis qu'elle est redevenue députée, les convictions écologiques de @CecileDuflot réapparaissent. #EELV #EcoloQueDeNom", =
"les autorités argentines diminuent l'émission de CO2  L’Argentine réduit ses   http://t.co/rphhyKTYZO  #actualiteargentine #argentine", +
"NEWS Eolien: Eolien en mer : les 80 éoliennes du parc de Global Tech I installées avec succès: Située en Mer d... http://t.co/e4xgvr6GWd", +
"LE PIÈGE DE L’ÉNERGIE VERTE http://t.co/1m1bYduEhe", -
"Le Piège de l'énergie verte http://t.co/QENlsyCU3m", =
"On en parle pas assez des Tigres souffrant de Ebola au Pôle Nord du au réchauffement climatique du Pôle Sud", -
"L'énergie verte en Russie sera renforcée grâce à la Chine - Voix de la Russie: L'énergie verte e... http://t.co/gorWtiZxOG #energie #eco", +
"Petit article actu sur le site où je suis rédactrice :-) http://t.co/TaQVGcS970", =
"Le piège de l’énergie verte | LE PEUPLE http://t.co/FJgpwMvyEm", =
"Le piège de l’énergie verte | LE PEUPLE http://t.co/FJgpwMvyEm", =
"Emploi Architecte de fermes - Energies Marines Renouvelables H/F -  (29) Finistère -    Bretagne - France: Dcn... http://t.co/zWEfVBcFjz", =
"#Eolien en mer : les 80 éoliennes du parc de Global Tech I installées avec succès > Energies @enerzine ►►http://t.co/uOCixjaEVS", +
"nouvelle offre : CAPVERA recrutre agent-co en énergies renouvelables. http://t.co/OWSAFWlxzR", =
"Une société solaire chinoise va acheter SAG Solarstrom de l http://t.co/S1s7voN1vj #Energie", =
"#Maroc: #Energies #renouvelables : La #stratégie marocaine saluée par les experts #mondiaux  http://t.co/Qnk1VB1CIp", +
"martinique 1ère – Lutter contre le réchauffement climatique et réduire la facture énergétique http://t.co/himxyEvuyu", +
""L' #agroforesterie et l'eau potable de Paris" avec l'implication de LaSalle Beauvais dans la revue L'écologiste, été 2014 #agriculture", =
"RT @DenisCosnard                      Décollage : en France, la production des éoliennes a augmenté de 19% en 1 an http://t.co/BCkweZ9Lio …", =
"[€] La politique freine l’essor des énergies renouvelables dans le monde, estime l’AIE https://t.co/thquGUozAa", -
"L’énergie verte en Russie sera renforcée grâce à la Chine - La Chine se dit prête à invest... http://t.co/r00IBFeYv8", +
"Ria Novosti: L’énergie verte en Russie sera renforcée grâce à la Chine: La Chine se dit prête à investir dans ... http://t.co/QoliOeRJpd", +
"Autonomie dans une Bretagne réunifiée = condition d'un développement plus rapide des énergies renouvelables", +
"Ideal en #solaire #thermique ! "@FB_Efficycle: Best-of été 2014 - Se chauffer à l’énergie solaire… même la nuit ! http://t.co/zhfMRmMfs6"", +
"via @libe Eoliennes : l’armée vent debout http://t.co/Kz7Hlb2xvC", =
"Leclanché et l'EPFL innovent pour stocker l'énergie solaire #smartenergy #solar http://t.co/8o8tgHsUnf", -
"Réchauffement climatique et apocalypse : comment les médias n'ont pas parlé de #WWOSC - http://t.co/jMtAJrL9RW #météo #médias #analyse", -
"#telmi L'ancienne ministre écologiste était l'invitée ce lundi matin de RMC et BFMTV. Et elle n'a pas mâché ses mots...", +
"Eoliennes : l’armée vent debout : Temps de lecture : 3 min 40 s http://t.co/byA9ecDEl5", =
"Sept millions de décès prématurés liés à la pollution, Le #réchauffement climatique en cause http://t.co/f6IRZSj9mc via @libe #pollution", =
"#TransitionEnergetique La visite de Ségolène Royal et George Pau-Langevin en Martinique #FactureEnergetique  http://t.co/5HNXHyprog", =
"Bienvenue à @consultausp, spécialiste en développement durable, énergies renouvelables, traitement de l'eau, R&D et apporteur d'affaires.", +
"12ème Foire Internationale de Lomé : LES ENERGIES RENOUVELABLES http://t.co/2LfhplcMTz via @aicep", =
"Les gestes de la rentrée au jardin http://t.co/Zo8VumW8y8", =
"Éolien - La possible extension des zones d’exclusion militaires provoque la crainte des professionnels : http://t.co/oW4jg9mKmg", -
"le Collectif Vosges Horizon durable soutient le recours contre les éoliennes d’Esley : http://t.co/QvZNeSSna0", +
""Eoliennes : l’armée vent debout" dans @libe http://t.co/n20tWr3ccs", =
"Bienvenue à @Shop_In_Green, moteur de recherche pour produits et services écologiques, bio et durables.", =
"Le piège de l’énergie verte @lepeuple2 http://t.co/Rb0ObjpSi1 via @LE PEUPLE", =
"@NaturaSciences nous donne des conseils pour bien choisir ses fournitures scolaires écologiques! #RentreeEcologique http://t.co/p4d6A20Axv", +
"Energie : Leclanché et l’EPFL innovent pour stocker l’énergie solaire http://t.co/qqTlG9PXiK #energie #solaire", =
"@aeveilla @Ecolo il y avait un accord pour la sortie du nucléaire moyennant energies renouvelables. Mais une fois ecolo dans l opposition", +
"La puissance installée du parc #photovoltaïque en Fr atteint 5095 MW fin juin 2014. #enr #transitionénergétique #énergie #solaire", =
"Parmi les sujets de la rentrée : comment améliorer la cohabitation entre éolien et armée. http://t.co/YvOcKeNdj4", +
"Eolien en mer : les 80 éoliennes du parc de Global Tech I installées avec succès | @scoopit via @Zehub http://t.co/YMMSGDoOh7", +
"Une araignée géante sème la panique en Wallonie - 7SUR7.be http://t.co/XRDPKEY3Wi via @7sur7", -
"Eolien en mer : les 80 éoliennes du parc de Global Tech I installées avec succès | Developpement... http://t.co/S1jQXrnRQj", +
"Un projet de cinq éoliennes agite le Quercy Blanc : http://t.co/fXEo5CbukR", -
"Le "rakerb" et le "cuterb", deux outils de #jardin écologiques | Ouest France Entreprises via @Dans_la_maison2 http://t.co/GvcX55bPWW", =
"@20Minutes et si cécile Duflot ne croit pas en politique de M Valls ? et ben moi non plus je ne crois pas en la politique des écologistes ?", =
"En France, la production des #éoliennes a augmenté de 19% en un an http://t.co/5ZQnVKXq1a", =
"Dominique voynet  au Figaro"les écologistes doivent mûrir ".c'est trop tard , à l'automne EELV est déjà un fruit pourri!", -
"Je suis très heureux d'accompagner @BringuyS pour les sénatoriales dans la Sarthe. Plus que jamais le Parlement a besoin d'écologistes.", +
"O bouleverser écosystème é ah sentiment (8)", -
"@Les_Maternelles Nous proposons des fournitures scolaires écologiques, fabriquées en France GRATUITEMENT sur: http://t.co/yhnn5Xh6Cf", =
"Eoliennes : l’armée vent debout. ENQUÊTE  La possible extension des zones d’exclusion militaires #eoilen http://t.co/5EkCq6DQ5J", =
"@TheGirlOfStone Electrotechnique tous ce qui est electricité et energie renouvelable tous ça", =
