@relation corpus_tweets_t1 
@attribute text string 
@attribute polarity {+,-,=}
@data
"@SAMARIEN79 @HakSylvie @PatriceSochet Tiens Dame Ségo pourrait faire monter des capteurs solaires sur les ceintures de sécurité des bagnoles", =
"La colère des communistes et des écologistes contre le PS http://t.co/S2W5oN6CmW", -
"Je propose qu'on mange tous des bambous et qu'on vive dans des grottes, ptet que ça réglera les crises écologiques, sur un malentendu...", -
"#ViveLaGauche #BFMTV #UEPS   @BrunoLeRoux drôle de conception du débat ?!   on n'est pas des éoliennes mais des militants désireux d'AGIR !", -
"@lucilejagger alors ce débat sur les éoliennes après la soirée. ;)", =
"Si les moustiques venaient à disparaître, cela causerait que peu ou aucun dommage à l'écosystème. http://t.co/zwY9fsyXwa", +
"1000 citoyens se regroupent pour financer et construire leur parc d'éoliennes ! http://t.co/g3aavvxCV1 via @expowave #crowdfunding", +
"@DrDanneskjold @xrmartin Moi je te donne des idées #libertaire #internationaliste #universaliste #environnementaliste #federaliste #EELV !", =
"Actualité des panneaux solaires flottants  Décidément le manque de place sur la terre ferme se fait de plus en... http://t.co/ao9xion9Gy", =
"Le mec il dis a tout le monde que y a des éoliennes mais on s'en fou quoi", =
"@cypher7th Ouais mais j’avoue que je suis dans iOS jusqu’aux oreilles… iPad, Mac… l’écosystème pèse énormément pour moi.", =
"FAO - Nouvelles: Réduire les émissions de gaz à effet de serre dues à l’élevage: c’est possible http://t.co/tnSDHuRXIj", +
"Discours des co-presidents d'Ecolo aux rencontres écologiques d'été.  #ree http://t.co/ljDz49UwwL", =
"@alainjuppe a dit : Les Eoliennes sur la Garonne sont laides mais si la Survie de la Planète est en jeu, il faut les y installer Pitoyable", -
"Selon l'#OMS, le réchauffement climatique pourrait bientôt causer 250 000 décès de plus par an http://t.co/qexkhdPNIu via @libe", =
"Les avions tombent comme des mouches cet été peut etre que c'est a cause du rechauffement climatique  et le climat se venge #greenpeace", -
"Poêle à bois : ce qu'il faut savoir   http://t.co/tzIMwtNiuO", =
". @RRachra vous oubliez l'abbé Pierre responsable des SDF, les écolos responsables du réchauffement climatique, ...   @MmeLenvie", =
"On devrait mettre des éoliennes au milieu des universités d'été politiques. Ça nous assurerait l'indépendance énergétique au moins.", +
"Et pas un mot sur les enjeux écologiques... Rien. Ahurissant. Ils sont donc 1000 à n'avoir toujours rien compris. http://t.co/BBVDBDA2Dr 2/2", -
"La plaine, la boue, la crasse, les moutons, les poules et les éoliennes... me voilà bien arrivée.  #Campagne #pfiou", =
"Il ne survit que peu de temps dans notre écosystème. Sa structure ne lui permet pas de résister à certains facteurs dont la chaleur", =
"La rentrée de CO2 mon amour (via @franceinter)  http://t.co/BYusXGvgXa", -
"@HuetSylvestre @corinnelepage  Super les #eoliennes #danoises. Le #danemark est le plus gros émetteur de CO2 par habitant en #europe", +
"Jouzel «Quand on parle de réchauffement climatique, il faut regarder à l'échelle globale. Le réchauffement est sans équivoque.» #UEPS", =
"@partisocialiste le réchauffement climatique, vous en ferez l'expérience en  2017 en déguerpissant avec le feu au cul! hollande #LaRochelle", -
"@partisocialiste pipeau cela ne marche plus le réchauffement climatique", =
"@Cousin_seb j'ai aussi entendu dire qu'ils ont permis le rechauffement de la planète au quaternaire. Ils sonr forts.", +
"Les toilettes écologiques sur le parcours de cross des #JEM2014 http://t.co/9LPVvggrPg", =
"Le réchauffement climatique pourrait causer 250.000 décès chaque année > http://t.co/czqyqD080g < via @Sciences_Avenir #pollution #climat", =
"@Denis_Baupin sourit qd je dis : nous, les socialistes, on est tous des écologistes. Il connaît nos doutes (J-M. Germain #UEPS)", =
"@Sokow_ Mouais. Il faut quand même je sais plus combien d'éoliennes pour produire la même quantité d'énergie que le nucléaire.", =
"Les nudges, ou comment inciter les gens à devenir écolos | YOUPHIL http://t.co/MAFBoDHpfl", -
"@romanko_ still, tu vas pas construire un réacteur nucléaire pour un village de 150 gens si deux éoliennes suffisent", +
"Je trouve ça tellement magnifique les champs plein d'éoliennes", +
"Rencontres écologiques d'été du 30 août 2014, info : RTBF Vidéo http://t.co/QPfDALBspB", =
"Des éoliennes qui vont de l'a-vent - Néoplanète http://t.co/GONfnbZxkv", =
"La politique transition énergétique mise en place par le gouvernement allemand, visant à développer les énergies renouvelables 1/2", =
"Le bébé #tigre noir qui fait sensation - http://t.co/zH0Kw0Vs4v", +
"Le bébé tigre noir qui fait sensation - 7SUR7.be http://t.co/r5EFVe4u2Q via @7sur7", +
"@pgauti à la base c'était militaire, c'est en cours de restructuration ! On peut déjà s'y balader :) http://t.co/guNq6uEy8E", =
"@S2RVNL l'alliance s'est nouée en 2009 pour faire gagner la gauche et les écologistes. Rassemblés. Ce qui fut. En 2010, en 2011 et 2012 !", +
"La géo-ingénierie est inutile face au réchauffement climatique http://t.co/WIG2dAHjrp", -
"Cheminée à foyer fermé : design et performance   http://t.co/F6azJzUIIc", =
"Des puits de gaz et de pétrole abandonnés préoccupent des écologistes: MONTRÉAL - L'Association québécoise de ... http://t.co/wGHCaXwgGV", =
"#Dieppe http://t.co/aBJDztIfdU Couvrez ces éoliennes que je ne saurais voir", =
"Des puits de gaz et de pétrole abandonnés préoccupent des écologistes http://t.co/XF73InSwsA", -
"@LeCrocMithaine @ChTaubira @MartineAubry les socialistes, écologistes, communistes et tous les autres qui ont élu François Hollande en 2012", +
"@zombimatic Si ça peut te rassurer, dans le Sud non plus ça a pas été top cette année :/ (A part ça le réchauffement climatique toussa lol)", +
"et pendant ce temps là on parle on parle http://t.co/44pxhpqvLT", =
"Réunir les forces de gauche et écologistes @mnlienemann #UEPS http://t.co/HocqlLkKyI", +
"@diou par l'ensemble de l'écosystème nuance", =
"Début de la dernière plénière #UEPS avec l'ensemble des leaders de la gauche et des écologistes cc @emmacosse http://t.co/uXRDNtU6YM", =
"Il manque le premier ministre Jospin sur votre photo RT “@Denis_Baupin: #UEPS avec leaders de gauche et écologistes http://t.co/HzcprOUUi9”", =
"@emmacosse à la plénière sur l'unité de la Gauche... Et des écologistes. Un combat... http://t.co/XYBlJpgjyZ", =
"@jmblanquer @idrissaberkane Ici, certes l'écosystème tourne a plein régime +etat d'esprit ,Mais la clé est là>>> https://t.co/NbfDzgzkK2", =
"Des puits abandonnés inquiètent des écologistes http://t.co/YqsGWR1vQk", -
"“@DavidCormand: @emmacosse à la plénière sur l'unité de la Gauche... Et des écologistes. Un combat... Avec un cube vert! #AuCasOu", -
"Priorité aux économies d'énergie et aux énergies renouvelables citoyennes Lisa Croyère @Begawatts http://t.co/GVX5ronUeM", =
"RT @nb58: Réchauffement climatique anthropique et santé publique. C'est pas joli. Ce qui s'en vient est pire... http://t.co/CjysdEBVmE", -
"RT @DavidCormand: @emmacosse à la plénière sur l'unité de la Gauche... Et des écologistes. Un combat... http://t.co/io1zshSZow", =
"Réchauffement climatique : Quand les gouvernements falsifient les rapports climatiques http://t.co/DdVM7IWQXZ", -
"@sandrarenard @montebourg @_Terra_Nova nous allons laisser aux jeunes & à nos enfants des situations économiques écologiques catastrophiques", -
"L'@AQLPA, inquiète de l'«héritage empoisonné des gazières», fera visiter puits abandonnés ajd http://t.co/2OyHh0Q4Pk http://t.co/JLMQWH5SlT", -
"@DinahZeghir @FdeRugy @EELV @Denis_Baupin @fm_lambert @JVPlace @thegreenizer @emmacosse les écologistes sont présents ... L'écologie moins", =
"@sandrousseau C'est l'utilité des écologistes, leur raison d'être même : toujours remettre l'écologie sur le haut de la pile @DinahZeghir", =
"@emmacosse exprime clairement les positions écologistes avec bcp d'applaudissements. #CaFaitDuBien #EELV #UEPS", +
"La gauche, la France, les écologistes soient debout, convaincus et déterminés. @emmacosse #UEPS2014", =
"Le lobbying, les écologistes s'en plaignent lorsque ça vient des autres notamment chasseurs et agriculteurs. Mais... http://t.co/EH8660SGZO", -
".@jccambadelis Je n'oublie pas que nous avons eu un accord avec les écologistes sur 170 villes et avec les communistes sur 187 villes #UEPS", =
"@jccambadelis : nous ne sommes pas écologistes ... Ah Ben voilà #UEPS", =
"#anhservices  AIVIA, Pompe à chaleur à ALES , GARD, ARDECHE, LOZERE, Energies Renouvelables http://t.co/y0XRLRMxFq", =
"Par contre comme à chaque fois que je regarde un film sur des activistes écologiques, je suis actuellement déprimé.", -
"Vu des objets en ivoire ce matin salle des ventes - Aussi rappel de la loi sur les transactions d'espèces menacées http://t.co/7tPAPRUqx0", +
"Ségolène Royal– Lutter contre le réchauffement climatique et réduire la facture énergétique http://t.co/mELQk8QVyN", +
"Annonce #STAGE #Courbevoie Stage assistant achat - energies renouvelables http://t.co/Bx4WX5n8yU", =
"Hymne nationale de mon entreprise d'éoliennes. l'air du vent De Pocahontas.", =
"Activité inspirée des activités Week 1 et Week 2. Etude et découverte du fonctionnement des éoliennes au... http://t.co/VUYtoVyRkh", +
"RT @emilemeunier: @emmacosse exprime clairement les positions écologistes avec bcp d'applaudissements. #CaFaitDuBien #EELV #UEPS", +
"@blmsankin @MontAthos  du cochon ça s'appelle l'écosystème . Vivre avec et sans", -
"Energie renouvelable, l’option la plus économique pour l’Union européenne http://t.co/I7dqny5jv1", =
"Ma nouvelle passion : développer tout un écosystème unique en son genre dans mon frigo. 😱", +
"Ma nouvelle passion : développer tout un écosystème unique en son genre dans mon frigo. 😱", +
"Des puits de gaz et de pétrole abandonnés préoccupent des écologistes | Pollution http://t.co/vFkgl8zDlP http://t.co/4sL8scTCIT", -
"Des puits de gaz et de pétrole abandonnés préoccupent des écologistes | Pollution http://t.co/3Sxezvhe51", -
"@mahtfrid Et là... Montebourg revient en débardeur marin  avec des #éoliennes_miniatures_apprivoisées : sa découverte !", =
"Energie : L’alternative biocarburant Mali Bamako http://t.co/6dglvg9L4c #Renewables", =
"Des puits de gaz et de pétrole abandonnés préoccupent des écologistes québécois http://t.co/6hGR4jpk2r #polqc", -
"avec #realchangeexpedition  et #JVMVSF nous imaginons la CCI 3.0 qui sera l'écosystème de la #TRIAPDL en Pays de la Loire", =
"@Lactualite Si on avait laissé libre l'exploitation de cette ressource nous n'en serions pas là. Les écologistes briment l'évolution #plq", -
"J'entends pas beaucoup les écologistes se soucier de la déforestation, des animaux, de la pollution.", -
"@BDrainvillePQ Hydrolienne en faillite, éoliennes produisant à perte, centrale thermique fermée qu'on doit payer pareil. Un grand succès.", -
"a voir on s'est trop moqué d'écolo puisqu'ils ne disent plus réchauffement climatique mais dérèglement... fait froid dehors :-)", -
"a voir on s'est trop moqué d'écolo puisqu'ils ne disent plus réchauffement climatique mais dérèglement... fait froid dehors :-)", -
"Invités à La Rochelle, communistes et écologistes sans merci - http://t.co/NFQK5QhmD2 - libération", -
"#Areva triple son #éolien offshore installé et prouve son savoir-faire à son nouveau partenaire #Games. #EMR  http://t.co/NwOvzcqrnt", +
"À la #une : Invités à La Rochelle, communistes et écologistes sans merci http://t.co/ci2rUqFHBa #topstories", -
"Invités à La Rochelle, communistes et écologistes sans merci: Très critiques sur les «renoncements» de Holland... http://t.co/yuILkx9XKO", -
"#Politique ▪ Invités à La Rochelle, communistes et écologistes sans merci: Très critiques sur les «renoncement... http://t.co/f9EfVWuDPO", -
"Invités à La Rochelle, communistes et écologistes sans merci http://t.co/uioSJm4SVu", -
"@BDrainvillePQ oui,  parce que avec les éoliennes, on voit toute suite que nous sommes les meilleurs #sarcasme", -
"Libé - Invités à La Rochelle, écologistes et communistes sans merci: Très critiques sur les «renoncements» de ... http://t.co/sOqjmz00Fx", -
"Ecologistes et communistes sans merci à La Rochelle  http://t.co/duzikhZlnn via @libe", -
"Ecologistes et communistes sans merci à La Rochelle  http://t.co/duzikhZlnn via @libe", -
"-- Un tout grand merci aux REE - Rencontres Ecologiques d'Eté pour leur accueil, et celui des participants qui... http://t.co/us1Yk9lCsE", +
"Invités à La Rochelle, écologistes et communistes sans merci: Très critiques sur les «renoncements» de Holland... http://t.co/aYvVxHOY1l", -
"Ecologistes et communistes dénoncent le virage libéral du #PS à La Rochelle ! #UEPS2014  http://t.co/CWJN2m30ZB via @lilianalemagna  @libe", -
"Des puits de gaz et de pétrole abandonnés préoccupent • #Environnement #PQc #AssNat  http://t.co/NHjF0pvMRx", -
"Élections sénatoriales en Haute-Garonne : Henri Arévalo présente sa liste, les écologistes croient en leurs chances | http://t.co/g269sFDAHB", =
"À la Rochelle, écologistes et communistes très critiques sur les «renoncements» de Hollande http://t.co/xegmGeSnXR #UEPS", -
"Annonce #CDI #Grenoble 1 Chargé d'affaires Réalisation Unités de Traitement de déchets http://t.co/11VCL1RP0E", =
"Ecologistes et communistes sans merci à La Rochelle (liberation.fr) http://t.co/cHmT3OxoZp", -
"tu es la cause du réchauffement climatique, tu causes des troubles et ça c'est systématique", =
"@mxbasty @aspcrf @p_helwig bientôt des découvertes écologiques sur la petite ceinture ferroviaire http://t.co/RcdVtvPoFn", =
"#Pastoralisme #biodiversité #montagne #FNE #Nature #Environnement #idéologique qui n'apporte rien  http://t.co/gF3X2rURgD #loup #ours", =
"Ecologistes et communistes sans merci à La Rochelle  — via libe http://t.co/PoINsvwcHB", -
"Ecologistes et communistes sans merci à La Rochelle. http://t.co/fpSYrILgmA", -
"#IlesFéroé sous protectorat du #Danemark qui cautionne le massacre d'espèces protégées en #Europe ! Avec NOS subventions ! @RoyalSegolene", +
"#Ecologistes et communistes sans merci à La Rochelle - Libération http://t.co/uUE7ki5oPG", -
"la victoire du PS et des Ecologistes Au vu du score d'Eva Joly, au vu d'un accord signé pour le 2d tour , des sièges de députés #ONPC", +
"#Rentréescolaire, @echobio propose qqes conseils pour des fournitures saines et écologiques http://t.co/OGsLP6VaMA http://t.co/TFLLZDTwbg", =
"Cécile Duflot aurait dû être intransigeante sur les questions sociales et écologiques. #ONPC", -
"L'occident vide ses déchets toxiques ailleurs, vend ses armes ailleurs... il fait de même avec l'émigration ! @ChakirTalal", =
"Les écologistes politiques ont toujours cette fâcheuse tendance à se prétendre les seuls écologistes au monde... #ONPC", -
"@CecileDuflot On vous rejoint sur les pbs écologiques mais pas sur les questions sociétales, sociales et celles liées à l'immigration!", =
"Et ceux qui sont nés écologistes peuvent arrêter de l'être VS l'inverse #Duflot #ONPC", =
"Des puits de gaz et de pétrole abandonnés préoccupent des écologistes: L'Association québécoise de lutte contr... http://t.co/S5UXZwCfru", -
"L'éolienne : au coeur de la révolution des énergies renouvelables - Enerzine: EnerzineL'éolien... http://t.co/nQtuIms5CS #energie #futur", =
"@ONPCofficiel Sortir du nucléaire oui, à condition d'avoir des nouvelles énergies plus écologiques, Cécile Duflot!", =
"@ONPCofficiel Sortir du nucléaire oui, à condition d'avoir des nouvelles énergies plus écologiques, Cécile Duflot!", =
"#onpc c'est déjà le cas Duflot, alors ferme ta gueule la grosse, t'es autant écologiste que moi j'suis le pape !", -
"Les vrais ecologistes sont sur le terrain Caron 3-0 Duflot #ONPC", =
"Merci Caron de nous donner la définition d'un (au masculin) VRAI écologiste #amen Le monde ira mieux grâce à vous #onpc", +
"RT @BDeVeylder: Les écologistes ne peuvent pas attendre sur un rocher que le dérèglement climatique s'accentue#ONPC", =
"#ONPC Cécile Duflot, quand elle commence à parler, c'est une sorte d'énergie renouvelable sans fil, rien pour l'arrêter.", =
"Hollande est passé grâce aux votes antisarkozyste pas grâce aux écologistes ! #ONPC", -
"Les écologistes ne peuvent pas attendre sur un rocher en disant je vous l'avais bien dit @CecileDuflot #pesersurleréel #ONPC #EELV", =
"Rappel Septembre 2013 : Noël Mamère : J'ai décidé de quitter EELV #ONPC #Duflot http://t.co/wmWcmNpq4m via @lemondefr", -
"Je croyais que Aymeric Caron était écologiste !!! Débat avec @CecileDuflot #ONPC", =
"Les énergies renouvelables engloutissent les 30 milliards d'économies http://t.co/m9ac89m6mf @EconomieMatin", -
"Septembre 2014 : vers une nouvelle gouvernance pour le réchauffement climatique - http://t.co/8nO7Y9TG0I #GoogleAlerts", +
"RT @VoixDeLaRaison: #ONPC Cécile Duflot, quand elle commence à parler, c'est une sorte d'énergie renouvelable sans fil, rien pour l'arrêter.", =
"@wouanes c'est relatif. Plus?  Quoi??  Assouplir des mesures réellement écologistes c'est faire plus mais moins engagé donc. @Jeje_0000", +
"#ONPC belle prestation de Duflo, je suis pas écologiste mais j'avoue que un discourt de gauche manque a la france", +
"Je suis totalement #écologiste Cécile #Duflot #ONPC", =
"Manquerait plus que ça en même temps … “@VicDoux: Je suis totalement #écologiste Cécile #Duflot #ONPC”", =
"@CorentinLtx C'est une écologiste qui était dans le gouvernement Ayrault", =
"Je suis totalement écologiste. L'écologie est héritière des valeurs de gauche ms s'oppose au productivisme @CecileDuflot #ONPC #Eelv", +
"Des puits de gaz et de pétrole abandonnés préoccupent des écologistes: MONTRÉAL – L’Association québécoise de ... http://t.co/vhoQQMCAoo", -
"@YvesPDB Surtout, il est impossible selon elle d'être de droite et d'avoir 1 conscience & 1 projet écologistes. Sectarisme? Triste en ts cas", -
"@GaetanTweet @PierreCortese Et continuer le grand déménagement du monde?  Euh non merci. Moi, je suis écologiste.", -
"Le journal de BORIS VICTOR : Invités à La Rochelle, communistes et écologistes ... http://t.co/cQVyev2LIS", =
"il a du faire beau 2 semaines sur 2 mois d'été c'est du grand n'importe quoi et après ça parle de réchauffement climatique j'comprend plus", -
"Le réchauffement climatique pourrait bientôt causer 250 000 décès de plus par an #OMS http://t.co/taoQmXIHag", =
"Cabine solaire Autonome 1000w:... http://t.co/amaAbtFlU0", =
"@nesta973 problème par rapport à @silva_marina qui ne peut pas être considérée une candidate écologiste. Elle ne défend plus ce parti", -
"@nesta973 ...d'ouverture stratégique par rapport aux OGM. Elle n'est pas écologiste.", =
"Le réchauffement climatique par exemple hein Jean Pierre", =
"600 puits de gaz laissés sans surveillance au Québec - Des citoyens et des écologistes pressent le ... http://t.co/LCwJgEtPni", =
"Arctic ice cap has grown 63% since 2012 http://t.co/R5PLWmtoOw http://t.co/UmN0X6f8gQ Réchauffement climatique? #plq @phcouillard", =
"@BDrainvillePQ @sbergeron Oui, en temps que Québécois nous allons bientôt payer notre électricité plus grâce aux éoliennes. Belle décision", +
"@BDrainvillePQ @sbergeron Oui, en temps que Québécois nous allons bientôt payer notre électricité plus grâce aux éoliennes. Belle décision", +
"RT @francoislegault: Éoliennes: le rêve non rentable du PQ et du PLQ http://t.co/VHnkGOjWhS", -
"600 puits de gaz laissés sans surveillance au Québec: Des citoyens et des écologistes pressent le gouvernement... http://t.co/saCunocfj9", =
"Ecologistes et communistes sans merci à La Rochelle  — via @libe http://t.co/ouwjGBLPOM", -
"Fleur des Mauges commercialise des produits cosmetiques biologiques et ecologiques sur base vegetale  Ces produits  http://t.co/vNdO1GKVPa", +
"INSTALLATEUR REVENDEUR EOLIENNES ET SOLAIRE POUR PARTICULIERS Sites isoles  batteries ou connection reseau http://t.co/c7CsJZZYqZ", =
"23e édition des Entretiens de Sologne : le programme du Colloque http://t.co/2J4zovwiyi Un hommage à l’#arbre, pilier de l’#écosystème", =
"Projet de décharge dans l'Aveyron : les élus locaux n'ont pas tous l'air d'accord… http://t.co/owsTKGhOn9", -
"Le réchauffement climatique pourrait causer 250.000 décès chaque année - Sciences et Avenir http://t.co/9FhHLVN0W0", =
"Révolution numérique : 7 tendances qui vont changer le monde | @scoopit via @WilG56 http://t.co/zY4bmjNUPP", +
"Politique: rencontres écologiques pour le parti Ecolo au Domaine de Massembre  http://t.co/1Dz5M2wMtP", =
"Avec le réchauffement climatique, les écosystèmes marins de l’Arctique sont «sur la ligne de feu» La photo titre... http://t.co/vtJ566negl", =
"Très critiques sur les «renoncements» de Hollande, Pierre Laurent (PCF) et Emmanuelle Cosse (EE-LV) ont reçu des... http://t.co/BCkoFakjdc", -
"5/7 Indice D prix #INSEE (à cause D conneries écologiques) des Travaux des Assurances des factures EDF/GDF (toujours à cause de l'écologie)", -
"Ecologistes et communistes sans merci à La Rochelle ::  http://t.co/d4jwXF6RyF", -
"@hangen_claude vaut mieux ségolène qui, grâce à l'imitation de SES éoliennes créées par elle (!), brasse un vent monstrueux à lElysée. :-)", =
"@hangen_claude vaut mieux ségolène qui, grâce à l'imitation de SES éoliennes créées par elle (!), brasse un vent monstrueux à lElysée. :-)", =
"#Ecologistes et #communistes sans merci à La Rochelle  http://t.co/Y1Sqv4qG5o via @libe", -
"Que de tels propos soient présentés comme durs en dit long sur le niveau de trahison et de recul actuel : http://t.co/t3y8Nx66R8 via @libe", -
"Les effets accélérés du réchauffement climatique http://t.co/WJRbL374Lk", =
"Ecologistes et communistes sans merci à La Rochelle - http://t.co/fgh65XKXfH Leur absence aurait été plus éloquent !", -
"31/08 présents aussi clôture Univ PS #UEPS2014 élus écologistes La Rochelle avec @DesveauxBrigitt JM Soubeste @EELV_LRReAunis #larochelle", =
"Presque 25% de l'électricité mondiale produite à partir de sources d'énergie renouvelable. Un pas (enfin) vers la... http://t.co/0ZUdjKVWdi", =
"En juillet les #énergies #renouvelables ont répondu à 37% de la demande #électrique espagnole http://t.co/6sW4vLi13t  http://t.co/Y9eyDCfOqv", =
"@Nitro_Politic initié par le pcf..et autres tendances anti capitalistes..  Même s'il rassemble aussi qlq socialistes et écologistes.", =
"#RTSdécouverte Mission Gulf Stream: au cœur du réchauffement climatique, un doc à voir mnt sur #RTSUn http://t.co/ZRLDyJSrIa", =
"Réveillé par le réchauffement climatique...", =
"Rancune ?^^ RT @partisocialiste: .@jccambadelis Je n'oublie pas que nous avons eu un accord avec les écologistes sur 170 villes (...) #UEPS", -
"On peux Vendre du vent , regarde les eoliennes", -
"1 300 espèces menacées : comment les #oiseaux sont en train de disparaître dans l'indifférence générale ►http://t.co/GprYwmeQdj v/@Pescalune", -
"Ce matin j'encourage le développement de l'énergie thermique dela mer,la methanisation de la bagasse, la géothermie:un nv modèle énergétique", +
"Ce qu'il se passe sur le site du futur barrage de Sivens pr empêcher le déplacement d'espèces protégées http://t.co/ybGOnQ0kRn #Testet #ZAD", -
"À défaut de réaliser l'union du PS et des écologistes français, Camba. en appelle à l'union des gauches et des écologistes européens #UEPS", =
"Architecture et paysage #Panarea la plus belle des #Eoliennes http://t.co/QnXhhJl1mG", +
"@LauraSlimani nécessité de faire percoler les fondamentaux des écologistes et de la gauche ds les temps longs #Valls http://t.co/Vwsjyfa58I", =
"[Article #Bricolage] Isolants écologiques   http://t.co/4JVRXAVQGz   #isolation", =
"Personnellement, je ne veux pas me rassembler avec @manuelvalls. Je préfère me rassembler avec les communistes et les écologistes ! #UEPS", =
"L'#UDI a un projet de refondation politique du modèle français sur des bases écologiques, sociales et libérales @sudradio #GenerationUDI", =
"@ailespourlouest  Les moins de croissance sont partout sauf pour les éoliennes", -
"Éoliennes volantes, le vent d'enthousiasme http://t.co/UWf0kz36wb", +
"@RoyalSegolene l'énergie renouvelable c'est l'avenir , mais il faut avant tout faire le ménage , car il y à Bcp d'arnaques !!!", -
"Si on n avait pas suivi aveuglément les écologiste on aurait entretenu les centrales et on n en serait pas là #controverse", -
"@RTLControverse c'est dommage d'avoir tellement freiné les énergies alternatives ...", -
"@RoyalSegolene  L'énergie renouvelable doit faire parti des futures causes national , nous nous devons d'être rassemblée ...", =
"Ecologistes et communistes sans merci à La Rochelle http://t.co/hQ9lQNWyJg", -
"Le public doit reprendre la main sur l'énergie. Carte blanche parue dans l'Echo concernant le #blackout #controverse http://t.co/RrAt5xfhio", =
"Nouvel écosystème #digital pour la igue des champions de #hockey sur #glace http://t.co/PWLtXVpX2B #CHL #media", =
"L'éolienne au coeur des #énergies #renouvelables http://t.co/FpxpdwK6y3", =
"Les intranets et leur écosystème - Portrait des usages et meilleures pratiques http://t.co/knAvvQKcp0", +
"Pollution industrielle : causes et conséquences de la fermeture du centre de traitement des déchets de Jradou. http://t.co/oO2w3hCjZA", =
"Pollution industrielle : causes et conséquences de la fermeture du centre de traitement des déchets de Jradou. http://t.co/ktfUNzm6QM", =
"Tous les précaires se réjouissent du réchauffement climatique dans un sens", +
"RT @yvesjego: L' #UDI a un projet de refondation politique du modèle français sur des bases écologiques, sociales et libérales @sudradio", +
"Ecologistes et communistes sans merci à La Rochelle #PCF #EELV http://t.co/XLwcglZoi1", -
"Pour prendre une décision éclairée, il convient aussi de connaître les contraintes associées à la géothermie résidentielle.", +
"Annonce #CDI #LaRochelle Ingénieur Développement Energies Renouvelables - Chargé d'Affaire http://t.co/tgbKdCfb87", =
"Des auberges de jeunesse qui offrent une expérience au milieu de la nature ... http://t.co/qZIEJPLPlq", +
"@Scuffiie tqt rien d'important ^^ c a cause du réchauffement climatique ^^", =
"A La Rochelle, écologistes et communistes sans merci mais ovationnés. La ligne Hollande-Valls minoritaire ! #UEPS2014 http://t.co/BhEau32hUc", +
"@BDrainvillePQ @FinDesTemps @LP_LaPresse Le pétrole crée plus de richesse que les éoliennes mettons en passant,fini l'ère des chevaux !", +
"Météo apocalyptique : analyse d'un dérapage médiatique qui utilise la #WWOSC sans en parler - http://t.co/jMtAJrL9RW #météo #médias", =
"Annonce #CDI #Fleurus Un Technicien Process Waste traitement de déchets industriels nucléaires http://t.co/g5u4i0lv39", =
"Les centrales solaires à effet de cheminée.. La tour solaire à effet de cheminée est l’un des projets les plus... http://t.co/bTeZB0Xcpt", =
"JE VIENS D'ACCOUCHER <3. http://t.co/YL8o0mANAq", =
"Eridanis développe son écosystème de sociétes partenaires dédiées aux objets connectés https://t.co/90GE7ByFqF", +
"Je viens de recevoir une récompense : Écologiste http://t.co/K32pp4zXBB #Androidgames #Gameinsight #Android", +
"@Thelema973 les médias la présentent comme la candidate écologiste !!", =
"Des auberges de jeunesse 100% écologiques http://t.co/RaAVECm5qX", =
"L’énergie verte en Russie sera boostée grâce à la Chine - La Chine se dit prête à investir ... http://t.co/KfORCIz1DV", +
"@Energie2_0 Bienvenue à votre Groupe Energie 2.0 ! Au plaisir d'échanges constructifs en matières d'énergies renouvelables etc Chris,MGB", +
"Réchauffement climatique: un rapport du GIEC alarmant  http://t.co/pGlGpBqQWT via @le_figaro", =
"Cambrésis : en attendant les éoliennes, ce sont de drôles d’antennes qui sortent de terre  http://t.co/AnEydx85EZ", -
"Qu'est-ce que l'Ecosystème de l'entreprise http://t.co/5omjJ8GTyn #conseil By Creative Consulting", =
"Cueillir, une autre façon de consommer | @scoopit http://t.co/UPMlVDKn3u", =
"L'entreprise fertile : donner du sens à un « fil vert » - Les Échos | @scoopit http://t.co/I0nKgC7nYW", +
"L’énergie verte en Russie sera boostée grâce à la Chine http://t.co/PlFAmjJPji", +
"Le wwoofing naît dans les fermes bio de Pyrénées-Atlantiques | @scoopit http://t.co/CnAV3hSXaL", =
"Réchauffement climatique : la carte des villes qui seront touchées en premier http://t.co/OkHWFNO8ST", =
"Apparemment Le réchauffement climatique n'est pas la meilleure explication quand ta meuf te le demande", -
"Des légumes anciens à la pelle - Le JSL | @scoopit http://t.co/63Yng6KDpC", =
"Nous recrutons ! Ingénieur conseil secteur Énergies Renouvelables-Services à l'Environnement (H/F) (#Paris) http://t.co/dSfhT4t9BL #job", =
"L’Indonésie veut rentabiliser ses volcans par géothermie http://t.co/prBCqvjWoh", +
"1 300 espèces menacées : comment les oiseaux sont en train de disparaître dans l'indifférence générale |... http://t.co/u5ITnbcA2X", -
"Twelcome Jacquemard Pascal bravo de vous intéresser au #BioMethane, l'énergie verte stockable et locale ! http://t.co/XlkshzqPCf", +
"Y'a tour un ecosysteme sous mon lit mdr", =
"L’#énergie verte en #Russie sera boostée grâce à la #Chine http://t.co/U8djUqbZVC", +
"L'UE va arrêter de financer les centrales hydroélectriques roumaines - EurActiv France | @scoopit http://t.co/zs8L7s8Hj2", -
"L'UE va arrêter de financer les centrales hydroélectriques roumaines - EurActiv France | @scoopit http://t.co/zs8L7s8Hj2", -
